"Host","Name","Session","State","Logon"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," notre","console","Activo","02/11/2024 17:42"
"n7rcws"," notre","console","Activo","02/11/2024 17:42"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," administrador","console","Activo","04/11/2024 7:45"
"U00200025-BAV02"," administrador","console","Activo","04/11/2024 7:45"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," administrador","console","Activo","06/11/2024 8:37"
"U00200025-BAV02"," administrador","console","Activo","06/11/2024 8:37"
"localhost"," administrador","console","Activo","06/11/2024 8:37"
"U00200025-BAV02"," administrador","console","Activo","06/11/2024 8:37"
"localhost"," administrador","console","Activo","06/11/2024 8:37"
"U00200025-BAV02"," administrador","console","Activo","06/11/2024 8:37"
"localhost"," administrador","console","Activo","06/11/2024 8:37"
"U00200025-BAV02"," administrador","console","Activo","06/11/2024 8:37"
"localhost"," administrador","console","Activo","06/11/2024 8:37"
"U00200025-BAV02"," administrador","console","Activo","06/11/2024 8:37"
"localhost"," administrador","console","Activo","06/11/2024 8:37"
"U00200025-BAV02"," administrador","console","Activo","06/11/2024 8:37"
"localhost"," administrador","console","Activo","06/11/2024 8:37"
"U00200025-BAV02"," administrador","console","Activo","06/11/2024 8:37"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","05/11/2024 16:55"
"n7rcws"," notre","console","Activo","05/11/2024 16:55"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"n7rcws"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
"N7RCWS"," notre","console","Activo","08/11/2024 17:12"
"localhost"," notre","console","Activo","08/11/2024 17:12"
